Epoch,Average Cost,Accuracy
1,0.0923481,0.0853667
2,0.0813082,0.411867
3,0.0705991,0.633383
4,0.0607746,0.708083
5,0.0524769,0.760067
6,0.0462872,0.770617
7,0.0416107,0.795233
8,0.0390733,0.774767
9,0.0376108,0.779283
10,0.0391012,0.728683
11,0.0391523,0.715583
12,0.0412986,0.698433
13,0.0370574,0.7243
14,0.0320318,0.787033
15,0.0312491,0.779517
16,0.0297456,0.804433
17,0.0291911,0.797433
18,0.0278506,0.819917
19,0.0270311,0.8171
20,0.0256529,0.837167
21,0.024872,0.837233
22,0.0237668,0.850717
23,0.0232354,0.85035
24,0.0225418,0.8588
25,0.022379,0.855783
26,0.0222468,0.8578
27,0.0227506,0.848483
28,0.02354,0.843317
29,0.02498,0.824017
30,0.0263447,0.816417
31,0.0263646,0.81025
32,0.0260533,0.81685
33,0.0230538,0.8456
34,0.0219331,0.854
35,0.0198972,0.873767
36,0.0193598,0.874783
37,0.0183526,0.885817
38,0.018138,0.883933
39,0.0175814,0.891433
40,0.0174712,0.888583
41,0.0171076,0.893867
42,0.0170266,0.89205
43,0.0167595,0.895333
44,0.0166855,0.8945
45,0.0164737,0.8965
46,0.0164006,0.896183
47,0.0162243,0.89775
48,0.016151,0.897533
49,0.0159994,0.8989
50,0.0159263,0.899033
51,0.0157928,0.90015
52,0.0157204,0.900267
53,0.0156006,0.901083
54,0.0155294,0.901683
55,0.0154204,0.9022
56,0.0153508,0.902533
57,0.0152507,0.903233
58,0.0151827,0.90335
59,0.0150901,0.904233
60,0.015024,0.904433
61,0.0149376,0.90515
62,0.0148733,0.905233
63,0.0147923,0.905917
64,0.0147297,0.906033
65,0.0146534,0.906583
66,0.0145925,0.90675
67,0.0145203,0.907217
68,0.0144611,0.907483
69,0.0143926,0.907917
70,0.014335,0.908117
71,0.0142698,0.90875
72,0.0142139,0.90905
73,0.0141515,0.90955
74,0.0140971,0.90965
75,0.0140374,0.910083
76,0.0139845,0.910283
77,0.0139272,0.910667
78,0.0138758,0.91105
79,0.0138207,0.911483
80,0.0137706,0.911733
81,0.0137176,0.911933
82,0.0136688,0.912167
83,0.0136176,0.912567
84,0.01357,0.91295
85,0.0135205,0.913217
86,0.0134741,0.913483
87,0.0134261,0.91385
88,0.0133809,0.914017
89,0.0133344,0.91425
90,0.0132902,0.914333
91,0.013245,0.9147
92,0.0132019,0.915
93,0.013158,0.915217
94,0.0131158,0.915467
95,0.013073,0.91585
96,0.0130316,0.916
97,0.0129899,0.916183
98,0.0129494,0.916483
99,0.0129087,0.916717
100,0.012869,0.916967
101,0.0128293,0.9173
102,0.0127905,0.917533
103,0.0127516,0.917817
104,0.0127135,0.918033
105,0.0126756,0.918283
106,0.0126383,0.91845
107,0.0126011,0.918617
108,0.0125646,0.918833
109,0.0125283,0.9191
110,0.0124924,0.919417
111,0.0124568,0.91965
112,0.0124216,0.9198
113,0.0123867,0.920083
114,0.0123521,0.920383
115,0.0123178,0.92055
116,0.0122838,0.9208
117,0.0122501,0.921067
118,0.0122167,0.921433
119,0.0121835,0.921633
120,0.0121506,0.921867
121,0.012118,0.92215
122,0.0120857,0.9224
123,0.0120536,0.922683
124,0.0120218,0.92285
125,0.0119901,0.92305
126,0.0119588,0.92325
127,0.0119277,0.923383
128,0.0118969,0.923583
129,0.0118663,0.92375
130,0.0118359,0.923883
131,0.0118057,0.924
132,0.0117759,0.924133
133,0.0117461,0.92445
134,0.0117167,0.924683
135,0.0116874,0.92485
136,0.0116584,0.924983
137,0.0116295,0.925167
138,0.0116008,0.925433
139,0.0115724,0.925617
140,0.0115441,0.92585
141,0.0115161,0.92605
142,0.0114882,0.92615
143,0.0114605,0.9264
144,0.0114331,0.92655
145,0.0114058,0.92685
146,0.0113787,0.92695
147,0.0113517,0.927133
148,0.011325,0.927383
149,0.0112984,0.927517
150,0.0112719,0.927717
151,0.0112457,0.927867
152,0.0112196,0.928
153,0.0111937,0.928233
154,0.011168,0.928433
155,0.0111424,0.928617
156,0.011117,0.928817
157,0.0110917,0.928933
158,0.0110665,0.9291
159,0.0110415,0.92925
160,0.0110166,0.929417
161,0.0109919,0.929633
162,0.0109673,0.929767
163,0.0109428,0.930017
164,0.0109185,0.930217
165,0.0108943,0.9303
166,0.0108702,0.930483
167,0.0108463,0.930583
168,0.0108225,0.930667
169,0.0107989,0.930783
170,0.0107754,0.930917
171,0.0107521,0.931
172,0.010729,0.93115
173,0.0107059,0.931217
174,0.010683,0.931433
175,0.0106602,0.931633
176,0.0106375,0.931717
